url,status,url_length,domain_length,protocol,subdomains,special_characters_count,digits,letters,directories_count,parameters_count,has_ip,tld,has_multiple_urls,has_credentials,shannon_entropy,relative_entropy
http://m.g2236.com/,1,19,11,http,1,2,4,9,0,0,0,com,0,0,3.5766176449086653,-0.3634426930535898
http://www.pcmag.com/encyclopedia/term/48736/packet-analyzer,0,60,13,http,1,3,5,45,4,0,0,com,0,0,4.44274940507578,0.0993587047488628
http://www.marketingteacher.com/segmentation/,0,45,24,http,1,2,0,38,1,0,0,com,0,0,3.9776538632759495,0.2382018785952813
https://www.emerald-associates.com/images/stories/file/pdf/brochures/Oracle_2015/ODA/oracle-database-appliance-ds-1867697.pdf,0,125,26,https,1,9,11,94,8,0,0,com,0,0,4.678963157893023,0.398702908339888
https://www.oberoirealty.com/,0,29,20,https,1,2,0,23,0,0,0,com,0,0,3.9952378913808873,0.4599988792211761
http://voicemail365.nn.r.appspot.com/,1,37,29,http,3,4,3,26,0,0,0,com,0,0,4.121219243831913,0.3316661563025688
https://apple-support.mauriciochaveiro.com.br/ap/Account,1,56,37,https,2,4,0,47,2,0,0,br,0,0,4.14675280670598,0.4832813331517257
https://www.managementtoday.co.uk/,0,34,25,https,2,3,0,27,0,0,0,uk,0,0,4.057476076289932,0.4012392644027164
http://www.helix-institute.com/,0,31,23,http,1,3,0,24,0,0,0,com,0,0,3.92599298842148,0.0965908941420786
https://www.crossstitch.pk/,0,27,18,https,1,2,0,21,0,0,0,pk,0,0,3.5137847242254345,-0.088267431879484
https://msdn.microsoft.com/en-us/library/windows/desktop/aa387099(v=vs.85).aspx,0,79,18,https,1,6,8,55,5,0,0,com,0,0,4.7874459387869654,0.6125226196633724
http://www.jreg99.com/vendor/phpunit/phpunit/src/util/php/captcha/dashboard/,1,76,14,http,1,2,2,60,8,0,0,com,0,0,4.2268403709877305,0.3418985094795478
https://www.zero.de/,0,20,11,https,1,2,0,14,0,0,0,de,0,0,3.5464393446710147,0.1349227039823287
